date,paid_price
2024-01-05,62.0
2024-01-08,69.5
2024-01-10,76.5
2024-01-12,86.39
2024-01-18,73.0
2024-01-22,53.75
2024-01-30,88.0
2024-02-02,146.73
2024-02-03,49.75
2024-02-04,194.0
2024-02-05,176.5
2024-02-06,219.0
2024-02-07,55.5
2024-02-08,266.4
2024-02-09,119.75
2024-02-10,228.5
2024-02-11,496.2
2024-02-12,66.0
2024-02-15,41.4
2024-02-16,28.5
2024-02-17,117.98
2024-02-18,73.0
2024-02-19,20.5
2024-02-20,18.0
2024-02-21,70.5
2024-02-22,47.75
2024-02-23,89.7
2024-02-24,730.5
2024-02-26,70.99
2024-02-27,90.25
2024-02-28,160.85
2024-02-29,134.4
2024-03-01,331.49
2024-03-02,289.7
2024-03-03,327.65
2024-03-04,530.5
2024-03-05,241.25
2024-03-06,59.1
2024-03-07,266.49
2024-03-08,308.55
2024-03-09,54.99
2024-03-10,426.8
2024-03-11,550.93
2024-03-12,295.95
2024-03-13,286.8
2024-03-14,292.04
2024-03-15,378.03
2024-03-16,167.49
2024-03-17,87.75
2024-03-18,562.99
2024-03-19,586.99
2024-03-20,328.94
2024-03-21,495.86
2024-03-22,363.7
2024-03-23,701.68
2024-03-24,378.4
2024-03-25,556.98
2024-03-26,841.42
2024-03-27,578.05
2024-03-28,233.0
2024-03-29,44.99
2024-03-30,393.25
2024-03-31,261.74
2024-04-01,388.71
2024-04-02,480.25
2024-04-03,616.18
2024-04-04,1013.64
2024-04-05,987.45
2024-04-06,378.33
2024-04-07,484.88
2024-04-08,430.04
2024-04-09,328.45
2024-04-10,215.74
2024-04-11,444.66
2024-04-12,880.84
2024-04-13,396.49
2024-04-14,579.44
2024-04-15,747.84
2024-04-16,326.7
2024-04-17,163.5
2024-04-18,453.74
2024-04-19,890.55
2024-04-20,394.1
2024-04-21,397.0
2024-04-22,387.97
2024-04-23,785.54
2024-04-24,263.8
2024-04-25,951.79
2024-04-26,703.5
2024-04-27,256.79
2024-04-28,459.06
2024-04-29,620.94
2024-04-30,551.18
2024-05-01,867.51
2024-05-02,208.2
2024-05-03,540.15
2024-05-04,316.69
2024-05-05,227.55
2024-05-06,415.49
2024-05-07,1011.69
2024-05-08,725.29
2024-05-09,1337.91
2024-05-10,802.15
2024-05-11,775.91
2024-05-12,1100.27
2024-05-13,651.1
2024-05-14,719.59
2024-05-15,939.13
2024-05-16,755.22
2024-05-17,800.25
2024-05-18,1094.96
2024-05-19,778.64
2024-05-20,728.97
2024-05-21,912.23
2024-05-22,605.07
2024-05-23,517.0
2024-05-24,655.55
2024-05-25,899.14
2024-05-26,271.12
2024-05-27,1132.67
2024-05-28,191.99
2024-05-29,1203.65
2024-05-30,671.48
2024-05-31,953.45
2024-06-01,295.73
2024-06-02,1282.92
2024-06-03,471.58
2024-06-04,1020.18
2024-06-05,1259.02
2024-06-06,768.89
2024-06-07,786.74
2024-06-08,1051.14
2024-06-09,907.05
2024-06-10,979.18
2024-06-11,663.75
2024-06-12,773.73
2024-06-13,960.07
2024-06-14,1022.99
2024-06-15,896.89
2024-06-16,923.4
2024-06-17,1549.03
2024-06-18,1069.94
2024-06-19,710.85
2024-06-20,1513.53
2024-06-21,884.38
2024-06-22,881.62
2024-06-23,1306.65
2024-06-24,875.75
2024-06-25,1678.36
2024-06-26,936.44
2024-06-27,1007.5
2024-06-28,1683.09
2024-06-29,1054.04
2024-06-30,930.57
2024-07-01,1086.61
2024-07-02,1571.38
2024-07-03,1385.31
2024-07-04,1521.49
2024-07-05,1111.51
2024-07-06,1389.34
2024-07-07,1442.58
2024-07-08,956.89
2024-07-09,1453.88
2024-07-10,1504.89
2024-07-11,851.0
2024-07-12,1162.3
2024-07-13,2418.16
2024-07-14,1687.5
2024-07-15,573.05
2024-07-16,1238.86
2024-07-17,1113.73
2024-07-18,1677.5
2024-07-19,1545.06
2024-07-20,1437.36
2024-07-21,1287.32
2024-07-22,1700.01
2024-07-23,1560.39
2024-07-24,785.73
2024-07-25,1337.48
2024-07-26,1510.69
2024-07-27,793.46
2024-07-28,1757.85
2024-07-29,1365.65
2024-07-30,1453.89
2024-07-31,1951.4
2024-08-01,2049.96
2024-08-02,2284.36
2024-08-03,2384.69
2024-08-04,1251.8
2024-08-05,1735.46
2024-08-06,1541.49
2024-08-07,885.23
2024-08-08,1740.42
2024-08-09,1501.73
2024-08-10,1066.66
2024-08-11,1670.04
2024-08-12,1430.83
2024-08-13,1387.93
2024-08-14,2231.01
2024-08-15,2314.34
2024-08-16,2125.15
2024-08-17,2192.56
2024-08-18,1340.1
2024-08-19,1833.54
2024-08-20,970.39
2024-08-21,1668.54
2024-08-22,2699.48
2024-08-23,2620.29
2024-08-24,1702.2
2024-08-25,2908.13
2024-08-26,2285.82
2024-08-27,1620.85
2024-08-28,2611.32
2024-08-29,1518.07
2024-08-30,1693.93
2024-08-31,1196.43
2024-09-01,1901.98
2024-09-02,2438.55
2024-09-03,1420.27
2024-09-04,3144.47
2024-09-05,2459.39
2024-09-06,4090.17
2024-09-07,1530.78
2024-09-08,3216.11
2024-09-09,2134.94
2024-09-10,2243.28
2024-09-11,2652.36
2024-09-12,2302.23
2024-09-13,2691.46
2024-09-14,3064.29
2024-09-15,2452.35
2024-09-16,2694.56
2024-09-17,2168.16
2024-09-18,2257.85
2024-09-19,2397.96
2024-09-20,2432.12
2024-09-21,3099.58
2024-09-22,1693.64
2024-09-23,2499.68
2024-09-24,2051.73
2024-09-25,2352.43
2024-09-26,1798.99
2024-09-27,3018.93
2024-09-28,2292.65
2024-09-29,1988.02
2024-09-30,1828.65
2024-10-01,1888.64
2024-10-02,1924.53
2024-10-03,3200.14
2024-10-04,2282.49
2024-10-05,2502.05
2024-10-06,2502.24
2024-10-07,3517.02
2024-10-08,2226.81
2024-10-09,1968.63
2024-10-10,3286.7
2024-10-11,1879.31
2024-10-12,2702.72
2024-10-13,1827.3
2024-10-14,2810.32
2024-10-15,2211.09
2024-10-16,2520.63
2024-10-17,1943.86
2024-10-18,2518.83
2024-10-19,2315.52
2024-10-20,2960.33
2024-10-21,2531.08
2024-10-22,3242.28
2024-10-23,1824.46
2024-10-24,2509.9
2024-10-25,2452.43
2024-10-26,2644.81
2024-10-27,3144.08
2024-10-28,2696.27
2024-10-29,1788.54
2024-10-30,1910.01
2024-10-31,2718.51
2024-11-01,2779.37
2024-11-02,2887.53
2024-11-03,2596.31
2024-11-04,1606.31
2024-11-05,2461.16
2024-11-06,2265.79
2024-11-07,2167.07
2024-11-08,2219.25
2024-11-09,3518.62
2024-11-10,2264.7
2024-11-11,2609.15
2024-11-12,2799.96
2024-11-13,1946.63
2024-11-14,3826.79
2024-11-15,2418.87
2024-11-16,3174.98
2024-11-17,2628.39
2024-11-18,1990.9
2024-11-19,2791.67
2024-11-20,2169.56
2024-11-21,3082.66
2024-11-22,2389.32
2024-11-23,3212.36
2024-11-24,2357.73
2024-11-25,1854.76
2024-11-26,1775.56
2024-11-27,1743.42
2024-11-28,1888.32
2024-11-29,2078.52
2024-11-30,2762.79
2024-12-01,2466.4
2024-12-02,2473.99
2024-12-03,2185.02
2024-12-04,2182.81
2024-12-05,2499.46
2024-12-06,3463.68
2024-12-07,2964.15
2024-12-08,3073.34
2024-12-09,2701.25
2024-12-10,3260.23
2024-12-11,2999.26
2024-12-12,2515.65
2024-12-13,2371.84
2024-12-14,2113.4
2024-12-15,2889.28
2024-12-16,1545.47
2024-12-17,2731.46
2024-12-18,2318.55
2024-12-19,2334.3
2024-12-20,1973.94
2024-12-21,2045.77
2024-12-22,2282.22
2024-12-23,2982.51
2024-12-24,2786.15
2024-12-25,1990.87
2024-12-26,2309.77
2024-12-27,2487.22
2024-12-28,1888.65
2024-12-29,2302.78
2024-12-30,2636.4
2024-12-31,3221.54
2025-01-01,2587.01
2025-01-02,4039.07
2025-01-03,2187.89
2025-01-04,2250.12
2025-01-05,2446.42
2025-01-06,3276.33
2025-01-07,2243.38
2025-01-08,1352.08
2025-01-09,2367.08
2025-01-10,1672.72
2025-01-11,1847.76
2025-01-12,2429.34
2025-01-13,2858.54
2025-01-14,2641.23
2025-01-15,1811.68
2025-01-16,2531.38
2025-01-17,3148.83
2025-01-18,2560.89
2025-01-19,2456.13
2025-01-20,1695.14
2025-01-21,3645.72
2025-01-22,1767.28
2025-01-23,2330.01
2025-01-24,2749.79
2025-01-25,3832.48
2025-01-26,1742.78
2025-01-27,2890.69
2025-01-28,2504.28
2025-01-29,2745.02
2025-01-30,1827.08
2025-01-31,3109.33
2025-02-01,2258.72
2025-02-02,994.38
2025-02-03,1966.45
2025-02-04,1628.22
2025-02-05,2522.54
2025-02-06,2060.22
2025-02-07,1875.49
2025-02-08,1566.69
2025-02-09,1407.1
2025-02-10,2909.26
2025-02-11,1792.37
2025-02-12,2499.42
2025-02-13,2710.46
2025-02-14,2335.65
2025-02-15,2338.63
2025-02-16,1967.11
2025-02-17,1853.22
2025-02-18,1577.66
2025-02-19,1986.82
2025-02-20,1466.58
2025-02-21,2454.69
2025-02-22,2132.81
2025-02-23,2234.19
2025-02-24,1548.59
2025-02-25,2410.09
2025-02-26,1081.67
2025-02-27,2303.63
2025-02-28,1795.49
2025-03-01,2612.48
2025-03-02,2682.98
2025-03-03,1951.41
2025-03-04,2286.68
2025-03-05,1885.06
2025-03-06,1826.35
2025-03-07,1688.71
2025-03-08,1514.76
2025-03-09,772.57
2025-03-10,2761.96
2025-03-11,2160.39
2025-03-12,1959.41
2025-03-13,1653.72
2025-03-14,2310.02
2025-03-15,1823.36
2025-03-16,1589.14
2025-03-17,1244.68
2025-03-18,1117.04
2025-03-19,1603.59
2025-03-20,1778.64
2025-03-21,1934.26
2025-03-22,1279.45
2025-03-23,2640.98
2025-03-24,1426.44
2025-03-25,2407.55
2025-03-26,1153.09
2025-03-27,1322.09
2025-03-28,1871.76
2025-03-29,2116.35
2025-03-30,2300.93
2025-03-31,1764.8
2025-04-01,2512.38
2025-04-02,1399.68
2025-04-03,945.62
2025-04-04,1475.59
2025-04-05,1879.61
2025-04-06,1386.73
2025-04-07,1719.57
2025-04-08,2020.14
2025-04-09,1510.5
2025-04-10,1897.26
2025-04-11,1771.13
2025-04-12,1579.3
2025-04-13,1791.62
2025-04-14,1168.3
2025-04-15,1255.1
2025-04-16,1664.36
2025-04-17,1106.45
2025-04-18,1783.11
2025-04-19,1603.63
2025-04-20,1190.02
2025-04-21,1042.07
2025-04-22,2015.32
2025-04-23,784.04
2025-04-24,1450.52
2025-04-25,1552.48
2025-04-26,790.32
2025-04-27,1581.05
2025-04-28,1534.54
2025-04-29,1310.8
2025-04-30,1392.82
2025-05-01,1610.95
2025-05-02,1971.57
2025-05-03,963.65
2025-05-04,497.27
2025-05-05,986.72
2025-05-06,1689.07
2025-05-07,1002.64
2025-05-08,1145.6
2025-05-09,592.43
2025-05-10,1474.6
2025-05-11,445.99
2025-05-12,1380.82
2025-05-13,2233.04
2025-05-14,997.43
2025-05-15,738.9
2025-05-16,959.87
2025-05-17,1287.9
2025-05-18,899.26
2025-05-19,1075.25
2025-05-20,993.97
2025-05-21,1160.06
2025-05-22,1554.63
2025-05-23,1212.88
2025-05-24,1212.62
2025-05-25,1025.67
2025-05-26,1155.05
2025-05-27,980.59
2025-05-28,1079.85
2025-05-29,1188.88
2025-05-30,1154.28
2025-05-31,634.96
2025-06-01,979.77
2025-06-02,647.48
2025-06-03,345.03
2025-06-04,1193.54
2025-06-05,1293.74
2025-06-06,860.33
2025-06-07,1099.35
2025-06-08,1086.93
2025-06-09,963.08
2025-06-10,1070.6
2025-06-11,366.2
2025-06-12,554.88
2025-06-13,520.3
2025-06-14,699.74
2025-06-15,607.83
2025-06-16,865.03
2025-06-17,1117.5
2025-06-18,980.22
2025-06-19,688.67
2025-06-20,474.82
2025-06-21,868.03
2025-06-22,502.28
2025-06-23,921.18
2025-06-24,906.05
2025-06-25,590.86
2025-06-26,390.9
2025-06-27,500.35
2025-06-28,449.5
2025-06-29,558.98
2025-06-30,914.65
2025-07-01,511.74
2025-07-02,1337.62
2025-07-03,372.4
2025-07-04,1090.45
2025-07-05,189.47
2025-07-06,571.15
2025-07-07,1501.85
2025-07-08,615.11
2025-07-09,584.68
2025-07-10,607.77
2025-07-11,753.81
2025-07-12,447.03
2025-07-13,266.85
2025-07-14,649.35
2025-07-15,474.45
2025-07-16,252.19
2025-07-17,598.55
2025-07-18,665.44
2025-07-19,1104.13
2025-07-20,376.44
2025-07-21,522.85
2025-07-22,427.88
2025-07-23,864.78
2025-07-24,692.8
2025-07-25,331.25
2025-07-26,370.2
2025-07-27,271.75
