id,title,author,genre,publisher,year,author_set,author_set_name
21778,Call of Duty: World at War,Elmer Parker,Mythopoeia,Orion Books,2003,"('Elmer Parker',)",Elmer Parker
21374,WarioWare: Touched!,Ms. Kami Prosacco,Mythology,St. Martin's Press,1951,"('Ms. Kami Prosacco',)",Ms. Kami Prosacco
21457,Titanic: Music from the Motion Picture,Zoila Christiansen,Historical fiction,"Farrar, Straus & Giroux",2009,"('Zoila Christiansen',)",Zoila Christiansen
21881,Flashdance: Original Soundtrack from the Motion Picture,"Joseph Raynor, Ja Ankunding II",Metafiction,Pen and Sword Books,2024,"('Ja Ankunding II', 'Joseph Raynor')","Ja Ankunding II, Joseph Raynor"
21446,Riot!,Louanne Cruickshank,Mystery,Bellevue Literary Press,1987,"('Louanne Cruickshank',)",Louanne Cruickshank
22052,Cidade de Deus,Johnny Russel,Reference book,Gay Men's Press,1979,"('Johnny Russel',)",Johnny Russel
21952,The Yellow Meads of Asphodel,Teresia Fisher,Mystery,Black Library,2000,"('Teresia Fisher',)",Teresia Fisher
21583,Citizen Kane,"Sen. Jackson Gutmann, Shelby Willms IV",Suspense/Thriller,University of Chicago Press,1884,"('Sen. Jackson Gutmann', 'Shelby Willms IV')","Sen. Jackson Gutmann, Shelby Willms IV"
21936,Quo Vadis,Sue Stark,Fairy tale,Gefen Publishing House,2019,"('Sue Stark',)",Sue Stark
21969,Left 4 Dead,Msgr. Marjorie Koepp,Horror,Medknow Publications,2013,"('Msgr. Marjorie Koepp',)",Msgr. Marjorie Koepp
21605,The Usual Suspects,"Dianne Jakubowski, Cheree Welch",Mystery,Fairview Press,1999,"('Cheree Welch', 'Dianne Jakubowski')","Cheree Welch, Dianne Jakubowski"
21975,Pokémon Omega Ruby,Kirsten Schaefer,Fantasy,Hay House,1994,"('Kirsten Schaefer',)",Kirsten Schaefer
21513,Counter-Strike: Source,Tegan Runolfsdottir,Speech,George Routledge & Sons,2001,"('Tegan Runolfsdottir',)",Tegan Runolfsdottir
21570,Star Wars: Episode VIII – The Last Jedi,Refugio Zboncak PhD,Narrative nonfiction,Tate Publishing & Enterprises,1913,"('Refugio Zboncak PhD',)",Refugio Zboncak PhD
21632,Surprised by Joy,Rico Zemlak,Tall tale,Zed Books,1997,"('Rico Zemlak',)",Rico Zemlak
21359,Mary and Max,"Deborah Grant, Roman Osinski Sr., Shanti Hand",Essay,Harper & Row,1911,"('Deborah Grant', 'Roman Osinski Sr.', 'Shanti Hand')","Deborah Grant, Roman Osinski Sr., Shanti Hand"
21788,The Deer Hunter,Richie Gislason,Fiction in verse,Academic Press,2019,"('Richie Gislason',)",Richie Gislason
22004,Gladiator,Kristeen Kessler CPA,Fanfiction,Macmillan Publishers,2010,"('Kristeen Kessler CPA',)",Kristeen Kessler CPA
21460,Some Buried Caesar,"Adell Considine, Leana Feil, Sen. Vonnie Jerde",Realistic fiction,,2010,"('Adell Considine', 'Leana Feil', 'Sen. Vonnie Jerde')","Adell Considine, Leana Feil, Sen. Vonnie Jerde"
22034,Carrion Comfort,Chara Morissette,Classic,Edupedia Publications,2014,"('Chara Morissette',)",Chara Morissette
21640,Perfect Dark,Adelia Lind,Tall tale,Penguin Books,2016,"('Adelia Lind',)",Adelia Lind
21763,Inglourious Basterds,Kylee Smith,Legend,Gaspereau Press,1985,"('Kylee Smith',)",Kylee Smith
21783,Fair Stood the Wind for France,Raul Hoppe,Reference book,Target Books,2024,"('Raul Hoppe',)",Raul Hoppe
21734,The Way Through the Woods,Felicita White DO,Fanfiction,HarperCollins,1979,"('Felicita White DO',)",Felicita White DO
21996,Gone with the Wind,Sen. Jackson Gutmann,Classic,Vintage Books,1995,"('Sen. Jackson Gutmann',)",Sen. Jackson Gutmann
21411,Grim Fandango,Amb. Nannie Labadie,Short story,Heyday Books,2010,"('Amb. Nannie Labadie',)",Amb. Nannie Labadie
22055,Beyond the Mexique Bay,"Reginia Weissnat, Miss Wade Lebsack",Classic,Ballantine Books,1984,"('Miss Wade Lebsack', 'Reginia Weissnat')","Miss Wade Lebsack, Reginia Weissnat"
21551,Snatch,Rep. Vern Turcotte,Classic,Shambhala Publications,2026,"('Rep. Vern Turcotte',)",Rep. Vern Turcotte
21296,Forrest Gump,Boris Schowalter CPA,Mythology,,2002,"('Boris Schowalter CPA',)",Boris Schowalter CPA
21529,Pale Kings and Princes,Danilo Zieme,Narrative nonfiction,Fearless Books,1900,"('Danilo Zieme',)",Danilo Zieme
21972,Brothers in Arms,Fletcher Upton,Science fiction,New English Library,1998,"('Fletcher Upton',)",Fletcher Upton
21730,Pokémon HeartGold,Dominique Sipes,Metafiction,Athabasca University Press,2013,"('Dominique Sipes',)",Dominique Sipes
21846,Thief II,Haywood Wyman,Tall tale,Del Rey Books,2006,"('Haywood Wyman',)",Haywood Wyman
21608,Inception,"Delois Koss, Sid Oberbrunner, Catrina Roob PhD",Historical fiction,Gefen Publishing House,1997,"('Catrina Roob PhD', 'Delois Koss', 'Sid Oberbrunner')","Catrina Roob PhD, Delois Koss, Sid Oberbrunner"
21595,Network,Zackary Carter,Fairy tale,Koren Publishers Jerusalem,1998,"('Zackary Carter',)",Zackary Carter
21395,His Dark Materials,Msgr. Mohammad Koelpin,Fiction in verse,Bowes & Bowes,1989,"('Msgr. Mohammad Koelpin',)",Msgr. Mohammad Koelpin
21733,Postern of Fate,"Amb. Amberly Beatty, Alysa Pouros Esq.",Reference book,Gay Men's Press,,"('Alysa Pouros Esq.', 'Amb. Amberly Beatty')","Alysa Pouros Esq., Amb. Amberly Beatty"
21415,The Matrix,Carin Christiansen,Narrative nonfiction,FabJob,1983,"('Carin Christiansen',)",Carin Christiansen
21507,Spotlight,"Enrique Gislason, Sean Harvey III, Glenna Huel",Essay,Addison-Wesley,1984,"('Enrique Gislason', 'Glenna Huel', 'Sean Harvey III')","Enrique Gislason, Glenna Huel, Sean Harvey III"
21818,Pokémon Black 2,Kasey Effertz,Folklore,Pen and Sword Books,1989,"('Kasey Effertz',)",Kasey Effertz
21441,The Godfather,"Edmundo Oberbrunner, Bernard Bayer, Amb. Elia Lebsack",Essay,George Routledge & Sons,1937,"('Amb. Elia Lebsack', 'Bernard Bayer', 'Edmundo Oberbrunner')","Amb. Elia Lebsack, Bernard Bayer, Edmundo Oberbrunner"
21963,A Catskill Eagle,Anton Toy,Narrative nonfiction,Atlas Press,2017,"('Anton Toy',)",Anton Toy
21726,Touch of Evil,"Selena Schroeder, Roland Murray",Narrative nonfiction,Ballantine Books,1988,"('Roland Murray', 'Selena Schroeder')","Roland Murray, Selena Schroeder"
21899,Blood's a Rover,"Sean Kassulke, Rosann Wolf VM",Crime/Detective,Felony & Mayhem Press,1976,"('Rosann Wolf VM', 'Sean Kassulke')","Rosann Wolf VM, Sean Kassulke"
21398,Dead Poets Society,"Anton Toy, Tabetha Johnston",Fantasy,Dedalus Books,2002,"('Anton Toy', 'Tabetha Johnston')","Anton Toy, Tabetha Johnston"
21302,Stand by Me,Emile Koepp DO,Fiction in verse,Nauka,1992,"('Emile Koepp DO',)",Emile Koepp DO
21423,"Those Barren Leaves, Thrones, Dominations",Freddie Weissnat,Metafiction,Simon & Schuster,2018,"('Freddie Weissnat',)",Freddie Weissnat
21903,The Far-Distant Oxus,Cruz Abshire MD,Western,UCL Press,1980,"('Cruz Abshire MD',)",Cruz Abshire MD
21918,Number the Stars,Candis Ledner Sr.,Humor,Manning Publications,1976,"('Candis Ledner Sr.',)",Candis Ledner Sr.
21485,Brütal Legend,Abigail Reynolds,Suspense/Thriller,Felony & Mayhem Press,1980,"('Abigail Reynolds',)",Abigail Reynolds
21617,The Silence of the Lambs,Dr. Pat Kunze,Mythology,Eel Pie Publishing,1979,"('Dr. Pat Kunze',)",Dr. Pat Kunze
22036,Mario Kart 8 Deluxe,Shanelle Upton,Fantasy,George Newnes,2017,"('Shanelle Upton',)",Shanelle Upton
21974,Far From the Madding Crowd,Matthew Boehm,Realistic fiction,St. Martin's Press,2013,"('Matthew Boehm',)",Matthew Boehm
21868,Spice,"Gov. Boyce Franecki, Odell Treutel",Fable,Black Sparrow Books,1995,"('Gov. Boyce Franecki', 'Odell Treutel')","Gov. Boyce Franecki, Odell Treutel"
21386,Doom 3: BFG,"Lavon Langosh, Msgr. Juan Beer, Garth Heidenreich",Mystery,Dedalus Books,1972,"('Garth Heidenreich', 'Lavon Langosh', 'Msgr. Juan Beer')","Garth Heidenreich, Lavon Langosh, Msgr. Juan Beer"
21531,Whiplash,Salvatore Mills,Horror,Edupedia Publications,2008,"('Salvatore Mills',)",Salvatore Mills
22049,Hotel California,Farah Rohan II,Realistic fiction,Black Library,1990,"('Farah Rohan II',)",Farah Rohan II
21871,Banjo-Kazooie: Grunty's Revenge,Karisa Kozey,Narrative nonfiction,Eerdmans Publishing,1978,"('Karisa Kozey',)",Karisa Kozey
